spatial_smoothing/fwhm/12;spatial_smoothing/tool/spm;slice_timing_correction/ref_slice/middle;signal_modeling/hrf/temporal_dispersion_derivs;spatial_normalization/bias_fwhm/130;spatial_normalization/template;signal_modeling/hrf;signal_modeling/nuisance_regressors/motion/18;spatial_smoothing/fwhm/2;coregistration/cost_function/mutual_information;coregistration;signal_modeling/nuisance_regressors/comp_cor;signal_modelling/temporal_noise_autocorrelation/FAST;coregistration/tool;spatial_normalization/algorithm/DARTEL;spatial_normalization/interpolation/bspline;spatial_normalization/bias_regularisation;spatial_normalization/template/MNI152_linear;coregistration/cost_function;coregistration/source_target;spatial_normalization/bias_regularisation/extremely_light;signal_modeling/nuisance_regressors/motion/24;coregistration/tool/spm;spatial_normalization/bias_fwhm/40;spatial_normalization/bias_fwhm/30;spatial_normalization/template/Ixi549Space;spatial_smoothing/fwhm/4;motion_correction_realignment/register_to/mean;spatial_normalization/bias_fwhm/150;segmentation;spatial_normalization/tool;spatial_normalization/algorithm/linear;spatial_normalization/bias_regularisation/medium;distorsion_correction;spatial_smoothing/fwhm/6;spatial_normalization/bias_fwhm/100;motion_correction_realignment/register_to/first;spatial_normalization/interpolation/trilinear;slice_timing_correction;slice_timing_correction/tool;spatial_normalization/bias_regularisation/heavy;spatial_normalization/bias_regularisation/light;spatial_normalization/interpolation;spatial_normalization/bias_fwhm/70;spatial_normalization/bias_fwhm/60;signal_modeling/nuisance_regressors/motion;spatial_normalization/template/MNI152_nonlinear;spatial_smoothing/tool;coregistration/cost_function/entropy_correlation_coefficient;signal_modeling/tool/SPM;motion_correction_realignment;signal_modeling/hrf/temporal_derivs;signal_modeling/nuisance_regressors;signal_modeling/tool;spatial_normalization/tool/spm;signal_modelling/temporal_noise_autocorrelation/AR1;signal_modelling/temporal_noise_autocorrelation;coregistration/cost_function/normalised_mutual_information;slice_timing_correction/ref_slice;coregistration/cost_function/normalised_cross_correlation;spatial_normalization/bias_fwhm/90;preprocessing;spatial_smoothing/fwhm;coregistration/source_target/func_on_anat;spatial_normalization/algorithm/nonlinear;spatial_normalization/template/MNI305;spatial_normalization/bias_fwhm/120;motion_correction_realignment/tool/spm;spatial_normalization/algorithm;motion_correction_realignment/tool;motion_correction_realignment/register_to;slice_timing_correction/tool/spm;spatial_normalization;spatial_smoothing/fwhm/14;spatial_smoothing;spatial_normalization/bias_fwhm/80;spatial_smoothing/fwhm/10;spatial_normalization/bias_fwhm;spatial_normalization/bias_regularisation/very_light;pipeline;coregistration/source_target/anat_on_func;signal_modeling/nuisance_regressors/motion/6;spatial_normalization/bias_fwhm/110;spatial_normalization/bias_fwhm/140;signal_modeling;slice_timing_correction/ref_slice/first;spatial_smoothing/fwhm/8;spatial_normalization/interpolation/nearest_neighbour;first_level;signal_modeling/hrf/canonical;id;from_ref;from_mean
False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;False;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;True;False;False;True;False;False;False;False;True;True;False;False;True;True;624de222eeaf0743b91dfb257c3b075cf21ce0981881f9ee740be6d19bd1178a;0.5308163999932807;0.5883042929208541
False;True;True;True;False;True;True;False;True;True;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;True;True;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;False;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;5653aaecfd6609fd0f7688b44f41f32dfc66fd6022de4e4d25acc9ff55ec27dd;0.45972009755392906;0.5277541637298409
False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;True;True;True;True;False;False;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;True;False;False;True;True;False;False;False;True;True;False;True;True;True;4531f6094a69641eb0e96211c76a26dca0b7072e60e0113cc25f607988260ce0;0.5308163999932807;0.5883042929208541
False;True;True;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;True;True;True;False;False;True;False;False;False;False;True;True;True;True;True;False;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;False;False;False;True;False;True;False;True;False;0bbb7ba6a7f0f43664447f9c74c28cb6f5a549d041ed79f2a873f5bb53d6e98a;0.8785954669829377;0.7273155554751737
False;True;False;True;False;True;True;False;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;True;False;False;True;True;False;False;True;False;False;True;True;True;True;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;False;True;False;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;True;True;False;False;True;True;False;False;True;False;547f6bf1800db23b9ac603a0f5ffa396e88da33f36b385bdd8dc33a64c0de4b1;0.5399603662669609;0.574198861257014
False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;True;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;True;True;True;True;True;True;True;False;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;d17d314f1966af85e6f3a0866eb825bf7b04693cae6f70278b8162c5d8742699;0.5181159416941252;0.601211035927864
False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;True;False;False;True;False;True;True;True;True;True;True;True;True;True;True;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;False;False;False;False;True;True;False;True;True;False;fc46a37c4a95b471237b9dcfe8fedad8c13ba79440da8442c479a3b949968b56;0.5181159416941252;0.601211035927864
True;True;True;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;True;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;True;True;True;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;True;False;False;True;False;False;False;True;True;3a624006914d59d6457fa82ff21a44d9cb917e9da4211cfbec0b6b61ef4e8be3;0.6768652770239596;0.695398734699887
False;True;False;False;False;True;True;True;False;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;True;True;True;False;True;True;True;True;True;False;False;False;False;True;True;False;True;False;False;True;True;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;True;False;True;True;True;True;32e15a0e84f4d0b74291e5648aefd8bac25ff9c929b35d9ac1e9fd21f30094c9;0.822497357473459;0.7247785079408922
False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;True;True;True;False;False;True;False;False;True;False;True;False;True;True;False;True;True;True;False;True;True;True;False;False;True;True;False;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True;bd63f08ced6944d9e5f49e3b48cb4e63711e54f16c57c50e126d57b173d9d924;0.4628849803142851;0.5653235315482757
