train_size;f1_score;feature_importance;decision_tree;nb_features;nb_clusters;silhouette_score;recall;precision;iteration
210;1.0;{'coregistration/source_target/func_on_anat': np.float64(0.28720080437819273), 'coregistration/cost_function/normalised_cross_correlation': np.float64(0.7127991956218073)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.395<br/>samples = 100.0%<br/>value = [0.757, 0.152, 0.09]>, fillcolor=""#eca572""] ;
1 [label=<gini = 0.0<br/>samples = 75.7%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/func_on_anat &le; 0.5<br/>gini = 0.468<br/>samples = 24.3%<br/>value = [0.0, 0.627, 0.373]>, fillcolor=""#aff4cc""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 15.2%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 9.0%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5259720936966179;1.0;1.0;1
280;1.0;{'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6913464137830274), 'coregistration/source_target/anat_on_func': np.float64(0.3086535862169726)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.411<br/>samples = 100.0%<br/>value = [0.746, 0.129, 0.125]>, fillcolor=""#eda673""] ;
1 [label=<gini = 0.0<br/>samples = 74.6%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/anat_on_func &le; 0.5<br/>gini = 0.5<br/>samples = 25.4%<br/>value = [0.0, 0.507, 0.493]>, fillcolor=""#fafefc""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 12.5%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 12.9%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5252319571938687;1.0;1.0;1
350;1.0;{'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6972147970858051), 'coregistration/source_target/anat_on_func': np.float64(0.3027852029141948)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.418<br/>samples = 100.0%<br/>value = [0.74, 0.151, 0.109]>, fillcolor=""#eda876""] ;
1 [label=<gini = 0.0<br/>samples = 74.0%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/anat_on_func &le; 0.5<br/>gini = 0.486<br/>samples = 26.0%<br/>value = [0.0, 0.582, 0.418]>, fillcolor=""#c7f8db""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 10.9%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 15.1%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5249640700304912;1.0;1.0;1
420;1.0;{'coregistration/source_target/func_on_anat': np.float64(0.3134775958708199), 'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6865224041291801)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.44<br/>samples = 100.0%<br/>value = [0.721, 0.152, 0.126]>, fillcolor=""#eeaa7a""] ;
1 [label=<gini = 0.0<br/>samples = 72.1%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/func_on_anat &le; 0.5<br/>gini = 0.496<br/>samples = 27.9%<br/>value = [0.0, 0.547, 0.453]>, fillcolor=""#ddfbe9""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 15.2%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 12.6%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5268078948513384;1.0;1.0;1
489;1.0;{'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6822761685939207), 'coregistration/source_target/anat_on_func': np.float64(0.3177238314060793)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.447<br/>samples = 100.0%<br/>value = [0.716, 0.143, 0.141]>, fillcolor=""#eeab7b""] ;
1 [label=<gini = 0.0<br/>samples = 71.6%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/anat_on_func &le; 0.5<br/>gini = 0.5<br/>samples = 28.4%<br/>value = [0.0, 0.504, 0.496]>, fillcolor=""#fcfffd""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 14.1%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 14.3%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5280757932883967;1.0;1.0;1
560;1.0;{'coregistration/source_target/func_on_anat': np.float64(0.31305977780162453), 'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6869402221983754)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.43<br/>samples = 100.0%<br/>value = [0.73, 0.139, 0.13]>, fillcolor=""#eda877""] ;
1 [label=<gini = 0.0<br/>samples = 73.0%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/func_on_anat &le; 0.5<br/>gini = 0.499<br/>samples = 27.0%<br/>value = [0.0, 0.517, 0.483]>, fillcolor=""#f2fdf7""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 13.9%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 13.0%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5281970509153637;1.0;1.0;1
630;1.0;{'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6850269976859127), 'coregistration/source_target/anat_on_func': np.float64(0.3149730023140873)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.438<br/>samples = 100.0%<br/>value = [0.724, 0.143, 0.133]>, fillcolor=""#edaa79""] ;
1 [label=<gini = 0.0<br/>samples = 72.4%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/anat_on_func &le; 0.5<br/>gini = 0.499<br/>samples = 27.6%<br/>value = [0.0, 0.517, 0.483]>, fillcolor=""#f2fdf7""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 13.3%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 14.3%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5268314347331485;1.0;1.0;1
700;1.0;{'coregistration/source_target/func_on_anat': np.float64(0.31339218226570875), 'coregistration/cost_function/normalised_cross_correlation': np.float64(0.6866078177342912)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.432<br/>samples = 100.0%<br/>value = [0.729, 0.141, 0.13]>, fillcolor=""#eda978""] ;
1 [label=<gini = 0.0<br/>samples = 72.9%<br/>value = [1.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<coregistration/source_target/func_on_anat &le; 0.5<br/>gini = 0.499<br/>samples = 27.1%<br/>value = [0.0, 0.521, 0.479]>, fillcolor=""#effdf5""] ;
0 -> 2 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
3 [label=<gini = 0.0<br/>samples = 14.1%<br/>value = [0.0, 1.0, 0.0]>, fillcolor=""#39e581""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 13.0%<br/>value = [0.0, 0.0, 1.0]>, fillcolor=""#8139e5""] ;
2 -> 4 ;
{rank=same ; 0} ;
{rank=same ; 2} ;
{rank=same ; 1; 3; 4} ;
}";2;3;0.5274846112864802;1.0;1.0;1
140;1.0;{'signal_modeling/hrf/temporal_dispersion_derivs': np.float64(0.29623562509072227), 'coregistration/cost_function/normalised_cross_correlation': np.float64(0.2497854683909364), 'coregistration/source_target/anat_on_func': np.float64(0.15647370017723045), 'signal_modeling/nuisance_regressors/motion': np.float64(0.297505206341111)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.661<br/>samples = 100.0%<br/>value = [0.357, 0.436, 0.107, 0.1]>, fillcolor=""#e9fce7""] ;
1 [label=<signal_modeling/hrf/temporal_dispersion_derivs &le; 0.5<br/>gini = 0.495<br/>samples = 79.3%<br/>value = [0.45, 0.55, 0.0, 0.0]>, fillcolor=""#defadb""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<signal_modeling/nuisance_regressors/motion &le; 21.0<br/>gini = 0.399<br/>samples = 49.3%<br/>value = [0.725, 0.275, 0.0, 0.0]>, fillcolor=""#efb184""] ;
1 -> 2 ;
3 [label=<gini = 0.0<br/>samples = 35.7%<br/>value = [1.0, 0.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 13.6%<br/>value = [0.0, 1.0, 0.0, 0.0]>, fillcolor=""#47e539""] ;
2 -> 4 ;
5 [label=<gini = 0.0<br/>samples = 30.0%<br/>value = [0.0, 1.0, 0.0, 0.0]>, fillcolor=""#47e539""] ;
1 -> 5 ;
6 [label=<coregistration/source_target/anat_on_func &le; 0.5<br/>gini = 0.499<br/>samples = 20.7%<br/>value = [0.0, 0.0, 0.517, 0.483]>, fillcolor=""#f2f8fd""] ;
0 -> 6 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
7 [label=<gini = 0.0<br/>samples = 10.0%<br/>value = [0.0, 0.0, 0.0, 1.0]>, fillcolor=""#d739e5""] ;
6 -> 7 ;
8 [label=<gini = 0.0<br/>samples = 10.7%<br/>value = [0.0, 0.0, 1.0, 0.0]>, fillcolor=""#399de5""] ;
6 -> 8 ;
{rank=same ; 0} ;
{rank=same ; 1; 6} ;
{rank=same ; 2} ;
{rank=same ; 3; 4; 5; 7; 8} ;
}";4;4;0.3333987050901475;1.0;1.0;1
210;1.0;{'signal_modeling/hrf/temporal_dispersion_derivs': np.float64(0.28002687051397185), 'coregistration/cost_function/normalised_cross_correlation': np.float64(0.28063967966527503), 'coregistration/source_target/anat_on_func': np.float64(0.16711363805918866), 'signal_modeling/nuisance_regressors/motion': np.float64(0.27221981176156457)};"digraph Tree {
node [shape=box, style=""filled, rounded"", color=""black"", fontname=""helvetica""] ;
graph [ranksep=equally, splines=polyline] ;
edge [fontname=""helvetica""] ;
0 [label=<coregistration/cost_function/normalised_cross_correlation &le; 0.5<br/>gini = 0.679<br/>samples = 100.0%<br/>value = [0.414, 0.343, 0.152, 0.09]>, fillcolor=""#fcf1e9""] ;
1 [label=<signal_modeling/hrf/temporal_dispersion_derivs &le; 0.5<br/>gini = 0.496<br/>samples = 75.7%<br/>value = [0.547, 0.453, 0.0, 0.0]>, fillcolor=""#fbe9dd""] ;
0 -> 1 [labeldistance=2.5, labelangle=45, headlabel=""True""] ;
2 [label=<signal_modeling/nuisance_regressors/motion &le; 21.0<br/>gini = 0.347<br/>samples = 53.3%<br/>value = [0.777, 0.223, 0.0, 0.0]>, fillcolor=""#eca572""] ;
1 -> 2 ;
3 [label=<gini = 0.0<br/>samples = 41.4%<br/>value = [1.0, 0.0, 0.0, 0.0]>, fillcolor=""#e58139""] ;
2 -> 3 ;
4 [label=<gini = 0.0<br/>samples = 11.9%<br/>value = [0.0, 1.0, 0.0, 0.0]>, fillcolor=""#47e539""] ;
2 -> 4 ;
5 [label=<gini = 0.0<br/>samples = 22.4%<br/>value = [0.0, 1.0, 0.0, 0.0]>, fillcolor=""#47e539""] ;
1 -> 5 ;
6 [label=<coregistration/source_target/anat_on_func &le; 0.5<br/>gini = 0.468<br/>samples = 24.3%<br/>value = [0.0, 0.0, 0.627, 0.373]>, fillcolor=""#afd7f4""] ;
0 -> 6 [labeldistance=2.5, labelangle=-45, headlabel=""False""] ;
7 [label=<gini = 0.0<br/>samples = 9.0%<br/>value = [0.0, 0.0, 0.0, 1.0]>, fillcolor=""#d739e5""] ;
6 -> 7 ;
8 [label=<gini = 0.0<br/>samples = 15.2%<br/>value = [0.0, 0.0, 1.0, 0.0]>, fillcolor=""#399de5""] ;
6 -> 8 ;
{rank=same ; 0} ;
{rank=same ; 1; 6} ;
{rank=same ; 2} ;
{rank=same ; 3; 4; 5; 7; 8} ;
}";4;4;0.3586822370192294;1.0;1.0;1
